flight_id,airline,flight_number,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,weather_condition,temperature_c,wind_speed_kts,visibility_km,airport_traffic_index,prior_leg_delay_min,aircraft_age_years,maintenance_overdue_flag,actual_departure_delay_min
FL-1169,JetExpress,JE476,FRA,ATL,2026-01-11 05:20:00,2026-01-11 07:13:00,Thunderstorm,-2.6,34.2,6.3,4.74,21,12.3,0,69
FL-1170,TransFlight,TR921,ATL,DFW,2026-01-28 08:47:00,2026-01-28 10:13:00,Snow,11.4,32.3,1.2,6.08,1,1.8,0,58
FL-1171,TransFlight,TR307,FRA,DXB,2026-01-08 01:40:00,2026-01-08 03:49:00,Rain,31.0,21.0,7.0,7.45,26,11.0,0,66
FL-1172,OceanicAir,OC928,JFK,DXB,2026-01-07 06:07:00,2026-01-07 11:14:00,Thunderstorm,11.9,4.5,4.9,8.26,5,16.1,0,83
FL-1173,NimbusAero,NI323,FRA,LAX,2026-01-03 07:28:00,2026-01-03 11:49:00,Rain,23.6,25.3,1.1,9.05,0,21.7,0,51
FL-1174,AeroGlobal,AE887,ORD,HND,2026-01-18 07:00:00,2026-01-18 11:00:00,Thunderstorm,31.7,41.0,4.1,7.14,35,14.7,0,89
FL-1175,NimbusAero,NI980,LHR,LAX,2026-01-09 08:56:00,2026-01-09 14:16:00,Thunderstorm,15.4,33.3,2.6,1.03,44,1.0,0,63
FL-1176,NimbusAero,NI836,DXB,CDG,2026-01-25 11:00:00,2026-01-25 14:59:00,High Winds,1.0,21.8,2.0,2.7,45,19.3,0,77
FL-1177,NimbusAero,NI529,FRA,JFK,2026-01-12 04:52:00,2026-01-12 07:22:00,Clear,-5.2,3.4,6.2,7.33,8,1.5,0,41
FL-1178,OceanicAir,OC549,ATL,FRA,2026-01-11 03:18:00,2026-01-11 04:31:00,Overcast,14.2,14.4,8.2,7.58,5,7.4,0,45
FL-1179,NimbusAero,NI938,LHR,ATL,2026-01-14 23:36:00,2026-01-15 01:34:00,Fog,15.0,19.8,3.1,6.01,20,13.2,0,50
FL-1180,AeroGlobal,AE741,CDG,FRA,2026-01-23 19:21:00,2026-01-23 20:30:00,Rain,35.2,30.9,8.0,3.87,23,9.5,0,30
FL-1181,OceanicAir,OC288,DXB,HND,2026-01-12 05:12:00,2026-01-12 07:52:00,Rain,31.2,8.2,4.9,1.52,11,9.4,0,23
FL-1182,TransFlight,TR237,CDG,ATL,2026-01-12 20:31:00,2026-01-12 23:00:00,Rain,21.0,41.7,8.5,1.83,8,16.1,1,38
FL-1183,NimbusAero,NI719,FRA,JFK,2026-01-04 13:29:00,2026-01-04 15:50:00,High Winds,26.6,33.1,5.8,5.31,1,19.2,0,65
FL-1184,SkyWings,SK316,ATL,LAX,2026-01-23 01:06:00,2026-01-23 03:55:00,Fog,19.0,10.8,9.2,5.97,2,17.2,0,54
FL-1185,JetExpress,JE415,DFW,CDG,2026-01-24 14:07:00,2026-01-24 19:06:00,Thunderstorm,-5.3,44.2,5.0,8.56,1,20.2,0,87
FL-1186,TransFlight,TR984,ATL,ORD,2026-01-01 23:42:00,2026-01-02 02:40:00,Snow,34.9,26.9,4.5,2.37,1,7.6,0,37
FL-1187,AeroGlobal,AE611,DXB,LHR,2026-01-12 23:04:00,2026-01-13 03:59:00,Fog,20.8,23.1,2.1,8.15,25,4.1,0,74
FL-1188,OceanicAir,OC288,DXB,JFK,2026-01-25 02:17:00,2026-01-25 03:19:00,High Winds,30.6,42.6,6.8,7.88,18,9.4,0,86
FL-1189,AeroGlobal,AE169,ORD,JFK,2026-01-11 04:54:00,2026-01-11 09:57:00,Thunderstorm,7.9,28.6,6.8,6.55,44,10.9,0,89
FL-1190,SkyWings,SK644,DXB,CDG,2026-01-01 18:56:00,2026-01-01 19:49:00,Snow,24.7,25.0,3.2,5.52,64,15.5,0,95
FL-1191,AeroGlobal,AE209,LAX,FRA,2026-01-08 00:38:00,2026-01-08 03:26:00,Overcast,19.7,12.9,3.9,8.15,1,2.2,0,47
FL-1192,OceanicAir,OC678,ATL,DFW,2026-01-14 21:39:00,2026-01-15 04:14:00,High Winds,30.7,30.1,8.7,7.84,22,2.5,0,48
FL-1193,TransFlight,TR587,JFK,LAX,2026-01-09 01:11:00,2026-01-09 02:38:00,Thunderstorm,30.6,29.7,3.6,9.8,35,21.4,0,127
FL-1194,AeroGlobal,AE316,FRA,HND,2026-01-13 14:06:00,2026-01-13 15:14:00,Clear,22.9,14.1,5.7,6.92,1,4.4,0,22
FL-1195,SkyWings,SK312,FRA,ORD,2026-01-19 09:02:00,2026-01-19 10:26:00,Rain,-2.2,12.3,8.4,4.5,9,19.8,0,35
FL-1196,AeroGlobal,AE909,LAX,FRA,2026-01-16 23:46:00,2026-01-17 00:58:00,Clear,11.0,38.1,3.7,7.92,0,21.0,0,40
FL-1197,SkyWings,SK749,DFW,DXB,2026-01-23 13:52:00,2026-01-23 16:33:00,Rain,16.5,18.1,2.3,6.27,13,8.7,0,51
FL-1198,JetExpress,JE917,ATL,LAX,2026-01-04 23:36:00,2026-01-05 02:38:00,Overcast,8.2,35.7,2.0,4.51,49,8.3,0,33
FL-1199,JetExpress,JE555,LHR,DFW,2026-01-05 21:39:00,2026-01-05 23:31:00,Clear,-1.0,21.3,5.8,4.67,30,1.1,0,26
FL-1200,SkyWings,SK711,FRA,LHR,2026-01-18 18:46:00,2026-01-18 19:37:00,Rain,9.9,35.5,7.4,6.04,3,21.8,1,56
FL-1201,NimbusAero,NI489,ORD,ATL,2026-01-13 11:43:00,2026-01-13 15:02:00,Rain,13.7,4.7,4.6,4.79,74,10.9,0,80
FL-1202,JetExpress,JE352,HND,ATL,2026-01-22 02:06:00,2026-01-22 03:45:00,Overcast,4.6,42.8,3.7,6.58,1,17.8,0,31
FL-1203,NimbusAero,NI708,ORD,LHR,2026-01-15 20:15:00,2026-01-16 02:08:00,Fog,-0.4,15.5,9.7,9.72,11,6.8,0,69
FL-1204,OceanicAir,OC689,ATL,CDG,2026-01-18 08:45:00,2026-01-18 11:53:00,High Winds,27.7,17.7,9.4,2.8,14,21.9,1,69
FL-1205,SkyWings,SK844,HND,ATL,2026-01-21 04:54:00,2026-01-21 08:08:00,High Winds,23.3,37.2,8.1,4.68,14,11.2,0,76
FL-1206,AeroGlobal,AE358,ORD,HND,2026-01-18 09:46:00,2026-01-18 11:08:00,Thunderstorm,37.6,22.6,4.3,5.56,13,20.3,0,72
FL-1207,JetExpress,JE818,DXB,LAX,2026-01-06 05:27:00,2026-01-06 08:19:00,Fog,21.9,9.2,6.3,6.07,14,14.4,0,67
FL-1208,JetExpress,JE915,CDG,LAX,2026-01-01 17:31:00,2026-01-01 19:06:00,Rain,0.7,34.1,5.8,7.19,4,5.3,0,37
FL-1209,OceanicAir,OC890,FRA,DXB,2026-01-08 02:39:00,2026-01-08 06:20:00,Clear,13.2,14.7,9.2,1.77,6,18.4,0,0
FL-1210,JetExpress,JE566,ATL,FRA,2026-01-23 05:29:00,2026-01-23 09:12:00,Thunderstorm,-5.3,33.0,4.8,1.6,13,1.5,0,45
FL-1211,SkyWings,SK969,LHR,LAX,2026-01-08 17:31:00,2026-01-08 20:20:00,Snow,-1.6,8.9,5.8,9.63,25,5.5,0,85
FL-1212,AeroGlobal,AE290,CDG,HND,2026-01-02 13:53:00,2026-01-02 19:52:00,Overcast,11.6,20.5,0.5,2.93,17,6.5,0,31
FL-1213,SkyWings,SK691,LAX,FRA,2026-01-09 18:12:00,2026-01-09 22:04:00,Rain,-0.5,6.9,6.9,5.41,8,21.3,0,50
FL-1214,OceanicAir,OC701,LAX,CDG,2026-01-17 06:27:00,2026-01-17 11:06:00,Snow,-1.7,31.0,8.1,9.27,40,13.2,0,94
FL-1215,JetExpress,JE220,ATL,LHR,2026-01-06 13:44:00,2026-01-06 16:02:00,Rain,23.3,24.0,4.5,2.24,24,8.7,0,29
FL-1216,NimbusAero,NI650,ORD,FRA,2026-01-08 20:15:00,2026-01-09 01:10:00,Rain,-3.3,15.5,4.8,1.48,65,8.2,0,56
FL-1217,AeroGlobal,AE299,CDG,FRA,2026-01-24 06:04:00,2026-01-24 12:23:00,Thunderstorm,9.6,23.1,7.2,4.99,7,4.1,0,57
FL-1218,AeroGlobal,AE399,JFK,LHR,2026-01-11 11:35:00,2026-01-11 16:55:00,Rain,-1.9,21.7,7.6,7.89,52,12.3,0,71
FL-1219,SkyWings,SK374,DXB,LHR,2026-01-25 22:03:00,2026-01-25 23:09:00,High Winds,24.5,25.5,9.9,1.92,9,18.3,0,41
FL-1220,SkyWings,SK560,DFW,CDG,2026-01-05 05:00:00,2026-01-05 09:29:00,High Winds,37.7,35.4,2.8,8.3,8,13.1,0,60
FL-1221,NimbusAero,NI724,CDG,ORD,2026-01-29 07:00:00,2026-01-29 08:56:00,High Winds,-0.1,10.9,1.1,4.16,30,6.5,0,63
FL-1222,JetExpress,JE820,DFW,LHR,2026-01-27 07:34:00,2026-01-27 10:35:00,High Winds,14.7,40.7,8.2,2.22,25,16.6,0,60
FL-1223,JetExpress,JE987,ORD,ATL,2026-01-12 14:42:00,2026-01-12 16:41:00,Fog,5.5,12.6,8.5,4.53,43,3.6,0,72
FL-1224,NimbusAero,NI524,CDG,DXB,2026-01-04 16:29:00,2026-01-04 22:38:00,High Winds,32.2,6.0,5.4,3.5,28,20.6,0,64
FL-1225,JetExpress,JE695,JFK,ORD,2026-01-22 02:44:00,2026-01-22 08:54:00,Fog,23.5,38.6,8.1,4.58,2,21.3,0,26
FL-1226,JetExpress,JE948,DFW,CDG,2026-01-26 03:48:00,2026-01-26 09:28:00,Overcast,17.2,22.9,3.8,7.14,46,1.5,0,41
FL-1227,OceanicAir,OC116,LAX,ATL,2026-01-21 08:00:00,2026-01-21 12:38:00,Clear,37.6,20.4,10.0,9.18,16,19.5,0,47
FL-1228,JetExpress,JE195,LHR,DFW,2026-01-05 00:01:00,2026-01-05 03:56:00,Fog,33.4,9.1,4.3,3.75,14,15.5,1,61
FL-1229,NimbusAero,NI197,JFK,DFW,2026-01-22 22:48:00,2026-01-23 00:12:00,Overcast,18.5,24.3,4.7,1.07,16,7.9,0,13
FL-1230,OceanicAir,OC810,ORD,DXB,2026-01-04 11:21:00,2026-01-04 14:03:00,Thunderstorm,-5.7,36.7,1.5,4.31,11,6.9,0,65
FL-1231,AeroGlobal,AE756,ORD,LAX,2026-01-25 09:27:00,2026-01-25 15:00:00,Clear,19.3,9.1,3.8,2.92,28,16.6,0,43
FL-1232,OceanicAir,OC980,ATL,LAX,2026-01-05 19:44:00,2026-01-05 21:40:00,High Winds,-4.1,33.4,3.8,4.86,12,17.5,1,87
FL-1233,AeroGlobal,AE666,FRA,DFW,2026-01-02 11:17:00,2026-01-02 17:39:00,Rain,-0.1,28.1,2.3,4.53,7,14.4,0,36
FL-1234,AeroGlobal,AE606,CDG,LAX,2026-01-12 05:19:00,2026-01-12 10:19:00,Fog,18.5,24.7,9.8,9.88,2,20.6,1,101
FL-1235,TransFlight,TR530,LHR,FRA,2026-01-09 02:42:00,2026-01-09 07:28:00,High Winds,-6.5,27.3,0.6,2.94,3,20.3,0,49
FL-1236,JetExpress,JE743,DXB,CDG,2026-01-20 12:39:00,2026-01-20 19:23:00,Thunderstorm,-6.0,25.1,6.4,3.5,2,7.2,0,41
FL-1237,AeroGlobal,AE927,ORD,FRA,2026-01-16 02:53:00,2026-01-16 06:58:00,Snow,20.4,37.9,7.0,1.6,8,15.5,0,67
FL-1238,SkyWings,SK350,LAX,HND,2026-01-06 12:41:00,2026-01-06 17:18:00,Snow,19.2,15.3,7.5,7.67,35,3.1,0,89
FL-1239,NimbusAero,NI111,ORD,DXB,2026-01-17 00:41:00,2026-01-17 05:53:00,Snow,27.6,33.0,2.1,2.14,22,17.3,0,42
FL-1240,SkyWings,SK443,CDG,DFW,2026-01-25 02:11:00,2026-01-25 03:28:00,Rain,24.2,26.8,1.2,5.1,7,8.2,0,44
FL-1241,TransFlight,TR270,LHR,ORD,2026-01-12 20:39:00,2026-01-12 22:16:00,Snow,22.4,7.0,7.5,1.02,44,19.0,1,79
FL-1242,JetExpress,JE492,ORD,ATL,2026-01-02 20:37:00,2026-01-03 02:05:00,High Winds,33.9,33.8,4.5,3.9,2,9.4,0,49
FL-1243,JetExpress,JE945,LAX,CDG,2026-01-06 16:25:00,2026-01-06 21:27:00,Fog,33.3,9.7,8.1,9.83,4,21.0,1,89
FL-1244,JetExpress,JE892,DFW,CDG,2026-01-05 04:21:00,2026-01-05 09:49:00,Thunderstorm,-9.6,10.6,5.9,3.74,9,13.9,0,62
FL-1245,TransFlight,TR605,ATL,FRA,2026-01-12 09:44:00,2026-01-12 11:46:00,Clear,34.8,3.0,5.6,6.72,5,15.4,1,51
FL-1246,NimbusAero,NI485,DFW,LAX,2026-01-10 14:07:00,2026-01-10 19:23:00,Overcast,10.2,43.3,9.7,2.28,15,6.5,0,18
FL-1247,AeroGlobal,AE965,DXB,CDG,2026-01-18 04:51:00,2026-01-18 09:30:00,Fog,-5.9,6.1,1.8,8.38,2,2.1,0,56
FL-1248,OceanicAir,OC778,ORD,DFW,2026-01-14 12:35:00,2026-01-14 15:33:00,High Winds,5.1,36.4,7.2,7.62,2,7.3,0,43
FL-1249,SkyWings,SK307,ORD,LAX,2026-01-08 07:44:00,2026-01-08 09:23:00,Overcast,11.6,15.5,1.6,4.22,6,17.1,0,26
FL-1250,SkyWings,SK192,ORD,LHR,2026-01-28 16:58:00,2026-01-28 18:03:00,Overcast,30.1,16.1,1.4,3.23,34,8.1,0,55
FL-1251,NimbusAero,NI406,DFW,ORD,2026-01-02 15:56:00,2026-01-02 20:08:00,High Winds,11.7,34.2,2.9,5.16,2,17.8,1,57
FL-1252,AeroGlobal,AE233,ATL,HND,2026-01-18 04:35:00,2026-01-18 11:11:00,Fog,35.0,5.6,6.1,9.26,3,2.1,0,59
FL-1253,AeroGlobal,AE761,HND,ORD,2026-01-05 10:27:00,2026-01-05 14:01:00,Clear,-8.0,21.8,2.1,6.16,1,18.2,0,17
FL-1254,NimbusAero,NI536,ORD,CDG,2026-01-11 00:31:00,2026-01-11 02:51:00,Rain,3.4,40.0,0.8,6.57,1,5.8,0,20
FL-1255,OceanicAir,OC663,HND,JFK,2026-01-05 05:48:00,2026-01-05 08:56:00,Thunderstorm,-3.4,10.6,8.9,5.73,6,14.1,0,75
FL-1256,SkyWings,SK491,LHR,DXB,2026-01-26 00:45:00,2026-01-26 05:38:00,Rain,33.8,23.6,4.2,2.62,10,7.4,0,24
FL-1257,JetExpress,JE159,HND,FRA,2026-01-17 12:24:00,2026-01-17 18:08:00,Overcast,36.8,6.3,6.7,3.4,24,18.1,0,29
FL-1258,AeroGlobal,AE689,CDG,LHR,2026-01-09 03:44:00,2026-01-09 05:59:00,Overcast,18.4,36.7,7.1,9.23,14,1.1,0,53
FL-1259,TransFlight,TR677,ORD,DFW,2026-01-23 15:38:00,2026-01-23 21:00:00,Rain,-1.6,3.6,1.0,6.41,20,0.9,0,40
FL-1260,JetExpress,JE728,ATL,ORD,2026-01-16 18:11:00,2026-01-17 01:03:00,Overcast,34.1,38.3,3.6,1.2,3,13.1,0,4
FL-1261,SkyWings,SK966,DXB,LHR,2026-01-04 13:13:00,2026-01-04 17:09:00,Fog,35.2,19.0,1.5,3.72,9,3.4,0,26
FL-1262,OceanicAir,OC910,HND,LHR,2026-01-09 04:16:00,2026-01-09 11:03:00,Snow,23.3,41.9,8.0,3.01,14,13.2,0,41
FL-1263,JetExpress,JE851,DFW,ORD,2026-01-09 08:06:00,2026-01-09 15:04:00,Clear,35.5,42.8,4.2,9.95,20,21.3,1,45
FL-1264,TransFlight,TR326,FRA,LAX,2026-01-23 19:57:00,2026-01-23 21:54:00,Rain,25.8,12.2,9.8,2.51,0,19.5,1,51
FL-1265,NimbusAero,NI846,LHR,DXB,2026-01-01 18:26:00,2026-01-01 21:26:00,Overcast,2.0,4.9,2.9,1.97,33,0.5,0,20
FL-1266,NimbusAero,NI529,ORD,HND,2026-01-23 16:34:00,2026-01-23 20:32:00,Rain,16.2,6.4,5.1,8.78,10,14.5,0,40
FL-1267,AeroGlobal,AE562,LAX,JFK,2026-01-14 16:07:00,2026-01-14 17:02:00,Rain,2.5,6.5,3.7,8.99,8,4.0,0,46
FL-1268,SkyWings,SK446,FRA,HND,2026-01-02 15:51:00,2026-01-02 20:16:00,Fog,-2.1,40.3,2.0,1.91,11,4.9,0,26
FL-1269,NimbusAero,NI667,DXB,DFW,2026-01-14 01:29:00,2026-01-14 04:46:00,Overcast,-5.4,18.9,5.7,5.42,7,1.7,0,16
FL-1270,SkyWings,SK401,FRA,HND,2026-01-10 08:05:00,2026-01-10 09:39:00,Clear,-0.1,29.4,9.8,5.26,0,3.0,0,8
FL-1271,OceanicAir,OC600,DFW,LAX,2026-01-30 11:05:00,2026-01-30 16:28:00,Thunderstorm,-1.1,40.1,4.0,5.01,5,6.2,0,58
FL-1272,AeroGlobal,AE957,DFW,JFK,2026-01-08 03:04:00,2026-01-08 09:45:00,Fog,-5.4,30.7,8.2,4.73,1,16.8,1,58
FL-1273,OceanicAir,OC938,DXB,CDG,2026-01-25 14:55:00,2026-01-25 21:31:00,High Winds,34.9,26.6,2.7,3.69,17,9.0,0,69
FL-1274,SkyWings,SK614,FRA,DXB,2026-01-27 06:12:00,2026-01-27 12:43:00,Snow,-2.9,42.8,4.8,9.54,23,4.1,0,67
FL-1275,AeroGlobal,AE229,JFK,HND,2026-01-04 19:35:00,2026-01-05 02:09:00,Thunderstorm,-0.3,37.4,1.9,6.36,11,7.4,0,80
FL-1276,SkyWings,SK189,CDG,FRA,2026-01-19 08:01:00,2026-01-19 13:28:00,Rain,31.1,24.3,9.2,1.11,13,15.6,0,21
FL-1277,SkyWings,SK524,ORD,ATL,2026-01-27 00:52:00,2026-01-27 06:38:00,Snow,26.4,42.4,9.3,6.06,2,2.7,0,69
FL-1278,TransFlight,TR452,CDG,DFW,2026-01-18 16:23:00,2026-01-18 22:43:00,Thunderstorm,17.5,22.3,2.1,4.63,5,13.8,0,83
FL-1279,OceanicAir,OC139,CDG,LHR,2026-01-12 01:29:00,2026-01-12 02:39:00,Fog,12.8,13.5,4.0,4.04,12,17.6,0,38
FL-1280,NimbusAero,NI801,LAX,DFW,2026-01-07 08:47:00,2026-01-07 12:05:00,Fog,11.3,37.5,3.1,4.75,6,14.4,0,41
FL-1281,AeroGlobal,AE943,CDG,DXB,2026-01-24 18:09:00,2026-01-24 22:05:00,High Winds,-7.3,36.0,1.1,7.39,4,9.2,0,65
FL-1282,TransFlight,TR682,JFK,ATL,2026-01-10 00:32:00,2026-01-10 02:59:00,High Winds,-7.2,3.4,1.0,4.24,1,4.8,0,38
FL-1283,OceanicAir,OC617,CDG,LAX,2026-01-02 15:22:00,2026-01-02 18:10:00,Rain,13.5,21.2,9.6,5.27,2,12.4,0,24
FL-1284,JetExpress,JE866,LAX,LHR,2026-01-02 11:58:00,2026-01-02 16:00:00,Clear,-2.2,26.6,9.7,8.71,3,14.4,0,24
FL-1285,JetExpress,JE767,CDG,FRA,2026-01-02 03:54:00,2026-01-02 10:28:00,Clear,12.8,7.7,2.1,8.21,34,5.3,0,44
FL-1286,JetExpress,JE829,DFW,HND,2026-01-18 09:12:00,2026-01-18 12:55:00,Thunderstorm,2.1,22.1,6.9,8.42,1,9.0,0,39
FL-1287,TransFlight,TR778,LHR,FRA,2026-01-30 17:04:00,2026-01-30 22:53:00,Snow,3.6,31.4,5.1,4.03,60,6.4,0,88
FL-1288,JetExpress,JE367,DFW,ATL,2026-01-08 01:45:00,2026-01-08 06:54:00,High Winds,1.5,4.4,8.6,8.29,1,9.2,0,60
FL-1289,AeroGlobal,AE838,JFK,DXB,2026-01-14 16:52:00,2026-01-14 19:49:00,Thunderstorm,9.4,33.7,6.0,9.95,30,18.0,0,103
FL-1290,NimbusAero,NI647,HND,LHR,2026-01-24 08:07:00,2026-01-24 11:25:00,High Winds,-1.8,30.3,5.8,3.64,25,10.6,0,55
FL-1291,NimbusAero,NI927,DXB,ORD,2026-01-16 12:36:00,2026-01-16 18:56:00,Clear,0.7,11.6,8.8,4.78,16,19.6,0,21
FL-1292,OceanicAir,OC971,LAX,DXB,2026-01-03 16:37:00,2026-01-03 22:46:00,Snow,17.9,28.7,5.0,2.75,39,3.1,0,92
FL-1293,TransFlight,TR405,CDG,JFK,2026-01-08 02:41:00,2026-01-08 04:36:00,Overcast,6.4,44.4,9.0,9.88,4,3.6,0,57
FL-1294,AeroGlobal,AE897,LAX,DXB,2026-01-16 09:19:00,2026-01-16 15:27:00,Overcast,5.0,4.5,4.8,2.88,22,17.1,0,20
FL-1295,SkyWings,SK232,FRA,CDG,2026-01-30 01:56:00,2026-01-30 06:20:00,Thunderstorm,10.6,22.5,0.5,5.8,8,16.2,0,71
FL-1296,TransFlight,TR295,JFK,LAX,2026-01-29 18:30:00,2026-01-30 01:30:00,Overcast,0.9,39.7,3.5,1.92,10,11.3,0,11
FL-1297,SkyWings,SK943,JFK,LHR,2026-01-14 11:39:00,2026-01-14 16:17:00,Fog,15.0,24.5,4.6,7.18,14,3.4,0,63
FL-1298,OceanicAir,OC467,ATL,ORD,2026-01-19 14:36:00,2026-01-19 15:30:00,Overcast,0.8,44.3,2.5,1.2,5,11.3,0,0
FL-1299,NimbusAero,NI766,JFK,HND,2026-01-30 09:24:00,2026-01-30 12:19:00,High Winds,15.7,4.1,9.9,6.96,9,14.6,0,54
FL-1300,NimbusAero,NI218,CDG,DXB,2026-01-18 13:20:00,2026-01-18 15:08:00,Snow,2.1,32.2,2.5,7.17,11,0.7,0,64
FL-1301,SkyWings,SK778,DXB,DFW,2026-01-29 14:15:00,2026-01-29 20:10:00,Fog,-3.4,37.7,1.5,7.47,2,3.0,0,42
FL-1302,SkyWings,SK609,ATL,DFW,2026-01-13 05:15:00,2026-01-13 10:27:00,Overcast,7.2,19.6,2.0,5.93,0,20.1,0,18
FL-1303,AeroGlobal,AE102,JFK,ORD,2026-01-06 06:37:00,2026-01-06 12:15:00,Fog,13.7,42.8,7.9,1.68,17,16.1,0,51
FL-1304,OceanicAir,OC403,DFW,DXB,2026-01-03 12:42:00,2026-01-03 14:18:00,High Winds,-1.6,3.7,3.3,8.21,21,7.2,0,68
FL-1305,SkyWings,SK971,JFK,LAX,2026-01-07 13:09:00,2026-01-07 19:33:00,Fog,-1.8,17.4,4.7,6.6,7,19.4,1,101
FL-1306,AeroGlobal,AE216,CDG,HND,2026-01-22 00:39:00,2026-01-22 03:43:00,High Winds,8.5,38.6,8.1,6.84,6,17.6,1,83
FL-1307,SkyWings,SK964,ORD,LAX,2026-01-20 04:24:00,2026-01-20 10:11:00,Thunderstorm,28.5,31.2,2.2,4.42,2,8.2,0,50
FL-1308,NimbusAero,NI958,ORD,DXB,2026-01-23 11:09:00,2026-01-23 12:51:00,Thunderstorm,11.2,4.7,6.7,1.11,1,19.2,0,61
FL-1309,NimbusAero,NI678,ATL,CDG,2026-01-24 20:59:00,2026-01-25 02:11:00,Fog,23.6,6.1,6.8,3.24,27,7.9,0,71
FL-1310,OceanicAir,OC252,DXB,JFK,2026-01-01 18:43:00,2026-01-02 00:57:00,Overcast,14.3,22.2,5.2,2.49,2,16.7,0,7
FL-1311,JetExpress,JE151,DXB,ATL,2026-01-26 07:17:00,2026-01-26 13:31:00,Thunderstorm,9.4,12.1,4.9,8.21,2,10.1,0,90
FL-1312,OceanicAir,OC423,LAX,DXB,2026-01-30 23:39:00,2026-01-31 00:33:00,Clear,9.4,3.5,5.7,8.43,2,17.5,0,36
FL-1313,TransFlight,TR675,ATL,DXB,2026-01-16 18:18:00,2026-01-16 22:09:00,High Winds,-7.4,11.6,4.8,6.04,11,13.8,0,68
FL-1314,NimbusAero,NI472,HND,LAX,2026-01-05 16:25:00,2026-01-05 22:47:00,Overcast,-9.9,17.3,6.5,8.2,6,12.3,0,32
FL-1315,SkyWings,SK146,ORD,DXB,2026-01-07 15:24:00,2026-01-07 22:16:00,Fog,24.6,6.6,6.3,2.69,25,20.5,0,58
FL-1316,AeroGlobal,AE833,LHR,LAX,2026-01-20 02:42:00,2026-01-20 03:50:00,Fog,30.2,27.3,7.8,5.05,8,14.7,0,48
FL-1317,AeroGlobal,AE610,JFK,FRA,2026-01-03 11:03:00,2026-01-03 16:31:00,Thunderstorm,30.3,22.8,5.3,9.29,5,4.3,0,60
FL-1318,NimbusAero,NI934,ORD,LAX,2026-01-18 21:09:00,2026-01-19 03:30:00,Snow,19.1,15.8,8.9,4.77,20,13.6,0,52
FL-1319,AeroGlobal,AE380,CDG,LHR,2026-01-14 15:18:00,2026-01-14 19:54:00,High Winds,-3.6,19.7,7.2,7.74,34,6.9,0,81
FL-1320,JetExpress,JE828,DXB,ATL,2026-01-10 09:25:00,2026-01-10 11:57:00,Snow,24.3,31.5,9.3,2.19,7,15.8,0,49
FL-1321,TransFlight,TR810,LHR,LAX,2026-01-17 06:44:00,2026-01-17 12:16:00,Thunderstorm,18.0,42.5,7.2,7.07,14,19.7,0,89
FL-1322,OceanicAir,OC927,JFK,FRA,2026-01-06 02:17:00,2026-01-06 03:14:00,Thunderstorm,-3.0,30.8,2.4,7.75,1,4.0,0,69
FL-1323,JetExpress,JE249,JFK,LHR,2026-01-10 12:49:00,2026-01-10 18:11:00,Clear,7.2,21.5,6.4,7.08,6,12.6,0,34
FL-1324,NimbusAero,NI674,CDG,ATL,2026-01-24 12:03:00,2026-01-24 18:44:00,Rain,23.3,4.0,4.1,4.75,2,17.4,0,38
FL-1325,SkyWings,SK113,DFW,ATL,2026-01-29 11:49:00,2026-01-29 16:20:00,High Winds,0.8,29.3,7.2,4.31,11,13.2,0,68
FL-1326,AeroGlobal,AE894,ATL,LHR,2026-01-21 16:13:00,2026-01-21 18:28:00,Fog,-6.4,43.4,7.5,2.07,33,1.4,0,44
FL-1327,JetExpress,JE233,ORD,LHR,2026-01-01 12:09:00,2026-01-01 15:43:00,Thunderstorm,24.1,8.7,2.0,3.9,5,1.6,0,77
FL-1328,TransFlight,TR963,DFW,DXB,2026-01-27 07:30:00,2026-01-27 12:56:00,Rain,-6.5,32.4,5.5,9.61,4,11.7,0,65
FL-1329,AeroGlobal,AE525,DXB,FRA,2026-01-19 14:38:00,2026-01-19 16:10:00,Rain,0.6,11.2,3.7,4.25,31,5.2,0,51
FL-1330,TransFlight,TR586,DXB,JFK,2026-01-06 11:18:00,2026-01-06 17:45:00,Rain,11.4,40.9,6.3,6.59,6,21.1,0,50
FL-1331,SkyWings,SK495,DFW,FRA,2026-01-14 02:55:00,2026-01-14 03:52:00,Snow,29.5,18.1,8.1,5.01,2,1.4,0,58
FL-1332,AeroGlobal,AE428,DXB,LAX,2026-01-05 14:48:00,2026-01-05 16:58:00,High Winds,15.8,2.3,1.1,7.03,3,17.1,0,65
FL-1333,SkyWings,SK310,DXB,CDG,2026-01-30 16:13:00,2026-01-30 17:34:00,Fog,22.9,3.0,7.3,1.34,15,2.1,0,44
FL-1334,JetExpress,JE671,LAX,DFW,2026-01-13 00:30:00,2026-01-13 04:43:00,Thunderstorm,11.7,19.4,3.5,4.51,17,3.0,0,41
FL-1335,NimbusAero,NI733,LAX,JFK,2026-01-04 13:17:00,2026-01-04 17:05:00,Snow,-4.9,35.8,3.4,1.78,6,17.0,0,45
FL-1336,NimbusAero,NI131,HND,ORD,2026-01-25 12:41:00,2026-01-25 15:18:00,Overcast,25.8,36.3,8.6,3.65,3,14.1,0,19
FL-1337,NimbusAero,NI763,LHR,JFK,2026-01-26 10:35:00,2026-01-26 16:04:00,Overcast,-4.1,2.2,6.2,5.83,7,20.9,0,36
