flight_id,airline,flight_number,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,weather_condition,temperature_c,wind_speed_kts,visibility_km,airport_traffic_index,prior_leg_delay_min,aircraft_age_years,maintenance_overdue_flag,actual_departure_delay_min,airline_code,weather_code,temp_norm,wind_norm,traffic_norm,delay_risk_class
FL-1266,NimbusAero,NI529,ORD,HND,2026-01-23 16:34:00,2026-01-23 20:32:00,Rain,16.2,6.4,5.1,8.78,10,14.5,0,40,0,6,0.5458333333333333,0.10232558139534885,0.8654060066740822,1
FL-1267,AeroGlobal,AE562,LAX,JFK,2026-01-14 16:07:00,2026-01-14 17:02:00,Rain,2.5,6.5,3.7,8.99,8,4.0,0,46,1,6,0.2604166666666667,0.10465116279069768,0.8887652947719689,2
FL-1268,SkyWings,SK446,FRA,HND,2026-01-02 15:51:00,2026-01-02 20:16:00,Fog,-2.1,40.3,2.0,1.91,11,4.9,0,26,2,1,0.16458333333333333,0.8906976744186046,0.10122358175750833,1
FL-1269,NimbusAero,NI667,DXB,DFW,2026-01-14 01:29:00,2026-01-14 04:46:00,Overcast,-5.4,18.9,5.7,5.42,7,1.7,0,16,0,0,0.09583333333333333,0.3930232558139535,0.49165739710789763,1
FL-1270,SkyWings,SK401,FRA,HND,2026-01-10 08:05:00,2026-01-10 09:39:00,Clear,-0.1,29.4,9.8,5.26,0,3.0,0,8,2,5,0.20625000000000002,0.6372093023255814,0.47385984427141264,0
FL-1271,OceanicAir,OC600,DFW,LAX,2026-01-30 11:05:00,2026-01-30 16:28:00,Thunderstorm,-1.1,40.1,4.0,5.01,5,6.2,0,58,5,4,0.18541666666666667,0.886046511627907,0.44605116796440486,2
FL-1272,AeroGlobal,AE957,DFW,JFK,2026-01-08 03:04:00,2026-01-08 09:45:00,Fog,-5.4,30.7,8.2,4.73,1,16.8,1,58,1,1,0.09583333333333333,0.6674418604651162,0.4149054505005562,2
FL-1273,OceanicAir,OC938,DXB,CDG,2026-01-25 14:55:00,2026-01-25 21:31:00,High Winds,34.9,26.6,2.7,3.69,17,9.0,0,69,5,2,0.9354166666666667,0.572093023255814,0.29922135706340375,2
FL-1274,SkyWings,SK614,FRA,DXB,2026-01-27 06:12:00,2026-01-27 12:43:00,Snow,-2.9,42.8,4.8,9.54,23,4.1,0,67,2,3,0.14791666666666667,0.9488372093023255,0.9499443826473859,2
FL-1275,AeroGlobal,AE229,JFK,HND,2026-01-04 19:35:00,2026-01-05 02:09:00,Thunderstorm,-0.3,37.4,1.9,6.36,11,7.4,0,80,1,4,0.2020833333333333,0.8232558139534883,0.596218020022247,2
FL-1276,SkyWings,SK189,CDG,FRA,2026-01-19 08:01:00,2026-01-19 13:28:00,Rain,31.1,24.3,9.2,1.11,13,15.6,0,21,2,6,0.8562500000000001,0.5186046511627908,0.012235817575083437,1
FL-1277,SkyWings,SK524,ORD,ATL,2026-01-27 00:52:00,2026-01-27 06:38:00,Snow,26.4,42.4,9.3,6.06,2,2.7,0,69,2,3,0.7583333333333333,0.9395348837209302,0.5628476084538375,2
FL-1278,TransFlight,TR452,CDG,DFW,2026-01-18 16:23:00,2026-01-18 22:43:00,Thunderstorm,17.5,22.3,2.1,4.63,5,13.8,0,83,3,4,0.5729166666666666,0.472093023255814,0.40378197997775306,2
FL-1279,OceanicAir,OC139,CDG,LHR,2026-01-12 01:29:00,2026-01-12 02:39:00,Fog,12.8,13.5,4.0,4.04,12,17.6,0,38,5,1,0.47500000000000003,0.26744186046511625,0.3381535038932147,1
FL-1280,NimbusAero,NI801,LAX,DFW,2026-01-07 08:47:00,2026-01-07 12:05:00,Fog,11.3,37.5,3.1,4.75,6,14.4,0,41,0,1,0.44375000000000003,0.8255813953488372,0.41713014460511677,1
FL-1281,AeroGlobal,AE943,CDG,DXB,2026-01-24 18:09:00,2026-01-24 22:05:00,High Winds,-7.3,36.0,1.1,7.39,4,9.2,0,65,1,2,0.05625,0.7906976744186046,0.710789766407119,2
FL-1282,TransFlight,TR682,JFK,ATL,2026-01-10 00:32:00,2026-01-10 02:59:00,High Winds,-7.2,3.4,1.0,4.24,1,4.8,0,38,3,2,0.05833333333333333,0.03255813953488372,0.36040044493882095,1
FL-1283,OceanicAir,OC617,CDG,LAX,2026-01-02 15:22:00,2026-01-02 18:10:00,Rain,13.5,21.2,9.6,5.27,2,12.4,0,24,5,6,0.4895833333333333,0.44651162790697674,0.47497219132369295,1
FL-1284,JetExpress,JE866,LAX,LHR,2026-01-02 11:58:00,2026-01-02 16:00:00,Clear,-2.2,26.6,9.7,8.71,3,14.4,0,24,4,5,0.1625,0.572093023255814,0.8576195773081202,1
FL-1285,JetExpress,JE767,CDG,FRA,2026-01-02 03:54:00,2026-01-02 10:28:00,Clear,12.8,7.7,2.1,8.21,34,5.3,0,44,4,5,0.47500000000000003,0.1325581395348837,0.8020022246941046,1
FL-1286,JetExpress,JE829,DFW,HND,2026-01-18 09:12:00,2026-01-18 12:55:00,Thunderstorm,2.1,22.1,6.9,8.42,1,9.0,0,39,4,4,0.2520833333333333,0.4674418604651163,0.8253615127919911,1
FL-1287,TransFlight,TR778,LHR,FRA,2026-01-30 17:04:00,2026-01-30 22:53:00,Snow,3.6,31.4,5.1,4.03,60,6.4,0,88,3,3,0.2833333333333333,0.6837209302325581,0.3370411568409344,2
FL-1288,JetExpress,JE367,DFW,ATL,2026-01-08 01:45:00,2026-01-08 06:54:00,High Winds,1.5,4.4,8.6,8.29,1,9.2,0,60,4,2,0.23958333333333334,0.0558139534883721,0.810901001112347,2
FL-1289,AeroGlobal,AE838,JFK,DXB,2026-01-14 16:52:00,2026-01-14 19:49:00,Thunderstorm,9.4,33.7,6.0,9.95,30,18.0,0,103,1,4,0.4041666666666666,0.7372093023255815,0.9955506117908787,2
FL-1290,NimbusAero,NI647,HND,LHR,2026-01-24 08:07:00,2026-01-24 11:25:00,High Winds,-1.8,30.3,5.8,3.64,25,10.6,0,55,0,2,0.1708333333333333,0.6581395348837209,0.2936596218020022,2
FL-1291,NimbusAero,NI927,DXB,ORD,2026-01-16 12:36:00,2026-01-16 18:56:00,Clear,0.7,11.6,8.8,4.78,16,19.6,0,21,0,5,0.22291666666666665,0.22325581395348837,0.42046718576195774,1
FL-1292,OceanicAir,OC971,LAX,DXB,2026-01-03 16:37:00,2026-01-03 22:46:00,Snow,17.9,28.7,5.0,2.75,39,3.1,0,92,5,3,0.5812499999999999,0.6209302325581395,0.1946607341490545,2
FL-1293,TransFlight,TR405,CDG,JFK,2026-01-08 02:41:00,2026-01-08 04:36:00,Overcast,6.4,44.4,9.0,9.88,4,3.6,0,57,3,0,0.3416666666666666,0.9860465116279069,0.9877641824249166,2
FL-1294,AeroGlobal,AE897,LAX,DXB,2026-01-16 09:19:00,2026-01-16 15:27:00,Overcast,5.0,4.5,4.8,2.88,22,17.1,0,20,1,0,0.3125,0.05813953488372093,0.20912124582869854,1
FL-1295,SkyWings,SK232,FRA,CDG,2026-01-30 01:56:00,2026-01-30 06:20:00,Thunderstorm,10.6,22.5,0.5,5.8,8,16.2,0,71,2,4,0.4291666666666667,0.47674418604651164,0.5339265850945495,2
FL-1296,TransFlight,TR295,JFK,LAX,2026-01-29 18:30:00,2026-01-30 01:30:00,Overcast,0.9,39.7,3.5,1.92,10,11.3,0,11,3,0,0.22708333333333333,0.8767441860465117,0.10233592880978865,0
FL-1297,SkyWings,SK943,JFK,LHR,2026-01-14 11:39:00,2026-01-14 16:17:00,Fog,15.0,24.5,4.6,7.18,14,3.4,0,63,2,1,0.5208333333333334,0.5232558139534884,0.6874304783092324,2
FL-1298,OceanicAir,OC467,ATL,ORD,2026-01-19 14:36:00,2026-01-19 15:30:00,Overcast,0.8,44.3,2.5,1.2,5,11.3,0,0,5,0,0.225,0.983720930232558,0.022246941045606223,0
FL-1299,NimbusAero,NI766,JFK,HND,2026-01-30 09:24:00,2026-01-30 12:19:00,High Winds,15.7,4.1,9.9,6.96,9,14.6,0,54,0,2,0.5354166666666667,0.048837209302325574,0.6629588431590656,2
FL-1300,NimbusAero,NI218,CDG,DXB,2026-01-18 13:20:00,2026-01-18 15:08:00,Snow,2.1,32.2,2.5,7.17,11,0.7,0,64,0,3,0.2520833333333333,0.702325581395349,0.6863181312569522,2
FL-1301,SkyWings,SK778,DXB,DFW,2026-01-29 14:15:00,2026-01-29 20:10:00,Fog,-3.4,37.7,1.5,7.47,2,3.0,0,42,2,1,0.13749999999999998,0.830232558139535,0.7196885428253614,1
FL-1302,SkyWings,SK609,ATL,DFW,2026-01-13 05:15:00,2026-01-13 10:27:00,Overcast,7.2,19.6,2.0,5.93,0,20.1,0,18,2,0,0.35833333333333334,0.4093023255813954,0.5483870967741935,1
FL-1303,AeroGlobal,AE102,JFK,ORD,2026-01-06 06:37:00,2026-01-06 12:15:00,Fog,13.7,42.8,7.9,1.68,17,16.1,0,51,1,1,0.49374999999999997,0.9488372093023255,0.07563959955506117,2
FL-1304,OceanicAir,OC403,DFW,DXB,2026-01-03 12:42:00,2026-01-03 14:18:00,High Winds,-1.6,3.7,3.3,8.21,21,7.2,0,68,5,2,0.17500000000000002,0.03953488372093024,0.8020022246941046,2
FL-1305,SkyWings,SK971,JFK,LAX,2026-01-07 13:09:00,2026-01-07 19:33:00,Fog,-1.8,17.4,4.7,6.6,7,19.4,1,101,2,1,0.1708333333333333,0.3581395348837209,0.6229143492769743,2
FL-1306,AeroGlobal,AE216,CDG,HND,2026-01-22 00:39:00,2026-01-22 03:43:00,High Winds,8.5,38.6,8.1,6.84,6,17.6,1,83,1,2,0.3854166666666667,0.8511627906976744,0.6496106785317018,2
FL-1307,SkyWings,SK964,ORD,LAX,2026-01-20 04:24:00,2026-01-20 10:11:00,Thunderstorm,28.5,31.2,2.2,4.42,2,8.2,0,50,2,4,0.8020833333333334,0.6790697674418604,0.3804226918798665,2
FL-1308,NimbusAero,NI958,ORD,DXB,2026-01-23 11:09:00,2026-01-23 12:51:00,Thunderstorm,11.2,4.7,6.7,1.11,1,19.2,0,61,0,4,0.44166666666666665,0.06279069767441861,0.012235817575083437,2
FL-1309,NimbusAero,NI678,ATL,CDG,2026-01-24 20:59:00,2026-01-25 02:11:00,Fog,23.6,6.1,6.8,3.24,27,7.9,0,71,0,1,0.7000000000000001,0.09534883720930232,0.24916573971078979,2
FL-1310,OceanicAir,OC252,DXB,JFK,2026-01-01 18:43:00,2026-01-02 00:57:00,Overcast,14.3,22.2,5.2,2.49,2,16.7,0,7,5,0,0.50625,0.4697674418604651,0.16573971078976643,0
FL-1311,JetExpress,JE151,DXB,ATL,2026-01-26 07:17:00,2026-01-26 13:31:00,Thunderstorm,9.4,12.1,4.9,8.21,2,10.1,0,90,4,4,0.4041666666666666,0.23488372093023255,0.8020022246941046,2
FL-1312,OceanicAir,OC423,LAX,DXB,2026-01-30 23:39:00,2026-01-31 00:33:00,Clear,9.4,3.5,5.7,8.43,2,17.5,0,36,5,5,0.4041666666666666,0.03488372093023256,0.8264738598442714,1
FL-1313,TransFlight,TR675,ATL,DXB,2026-01-16 18:18:00,2026-01-16 22:09:00,High Winds,-7.4,11.6,4.8,6.04,11,13.8,0,68,3,2,0.05416666666666666,0.22325581395348837,0.5606229143492769,2
FL-1314,NimbusAero,NI472,HND,LAX,2026-01-05 16:25:00,2026-01-05 22:47:00,Overcast,-9.9,17.3,6.5,8.2,6,12.3,0,32,0,0,0.002083333333333326,0.35581395348837214,0.8008898776418242,1
FL-1315,SkyWings,SK146,ORD,DXB,2026-01-07 15:24:00,2026-01-07 22:16:00,Fog,24.6,6.6,6.3,2.69,25,20.5,0,58,2,1,0.7208333333333333,0.10697674418604651,0.18798665183537264,2
FL-1316,AeroGlobal,AE833,LHR,LAX,2026-01-20 02:42:00,2026-01-20 03:50:00,Fog,30.2,27.3,7.8,5.05,8,14.7,0,48,1,1,0.8375,0.5883720930232559,0.45050055617352613,2
FL-1317,AeroGlobal,AE610,JFK,FRA,2026-01-03 11:03:00,2026-01-03 16:31:00,Thunderstorm,30.3,22.8,5.3,9.29,5,4.3,0,60,1,4,0.8395833333333332,0.48372093023255813,0.9221357063403781,2
FL-1318,NimbusAero,NI934,ORD,LAX,2026-01-18 21:09:00,2026-01-19 03:30:00,Snow,19.1,15.8,8.9,4.77,20,13.6,0,52,0,3,0.6062500000000001,0.32093023255813957,0.4193548387096774,2
FL-1319,AeroGlobal,AE380,CDG,LHR,2026-01-14 15:18:00,2026-01-14 19:54:00,High Winds,-3.6,19.7,7.2,7.74,34,6.9,0,81,1,2,0.13333333333333333,0.4116279069767442,0.7497219132369299,2
FL-1320,JetExpress,JE828,DXB,ATL,2026-01-10 09:25:00,2026-01-10 11:57:00,Snow,24.3,31.5,9.3,2.19,7,15.8,0,49,4,3,0.7145833333333332,0.686046511627907,0.13236929922135707,2
FL-1321,TransFlight,TR810,LHR,LAX,2026-01-17 06:44:00,2026-01-17 12:16:00,Thunderstorm,18.0,42.5,7.2,7.07,14,19.7,0,89,3,4,0.5833333333333334,0.9418604651162791,0.675194660734149,2
FL-1322,OceanicAir,OC927,JFK,FRA,2026-01-06 02:17:00,2026-01-06 03:14:00,Thunderstorm,-3.0,30.8,2.4,7.75,1,4.0,0,69,5,4,0.14583333333333334,0.6697674418604651,0.7508342602892102,2
FL-1323,JetExpress,JE249,JFK,LHR,2026-01-10 12:49:00,2026-01-10 18:11:00,Clear,7.2,21.5,6.4,7.08,6,12.6,0,34,4,5,0.35833333333333334,0.45348837209302323,0.6763070077864294,1
FL-1324,NimbusAero,NI674,CDG,ATL,2026-01-24 12:03:00,2026-01-24 18:44:00,Rain,23.3,4.0,4.1,4.75,2,17.4,0,38,0,6,0.69375,0.046511627906976744,0.41713014460511677,1
FL-1325,SkyWings,SK113,DFW,ATL,2026-01-29 11:49:00,2026-01-29 16:20:00,High Winds,0.8,29.3,7.2,4.31,11,13.2,0,68,2,2,0.225,0.6348837209302326,0.36818687430478303,2
FL-1326,AeroGlobal,AE894,ATL,LHR,2026-01-21 16:13:00,2026-01-21 18:28:00,Fog,-6.4,43.4,7.5,2.07,33,1.4,0,44,1,1,0.075,0.9627906976744186,0.1190211345939933,1
FL-1327,JetExpress,JE233,ORD,LHR,2026-01-01 12:09:00,2026-01-01 15:43:00,Thunderstorm,24.1,8.7,2.0,3.9,5,1.6,0,77,4,4,0.7104166666666667,0.15581395348837207,0.3225806451612903,2
FL-1328,TransFlight,TR963,DFW,DXB,2026-01-27 07:30:00,2026-01-27 12:56:00,Rain,-6.5,32.4,5.5,9.61,4,11.7,0,65,3,6,0.07291666666666667,0.7069767441860465,0.9577308120133481,2
FL-1329,AeroGlobal,AE525,DXB,FRA,2026-01-19 14:38:00,2026-01-19 16:10:00,Rain,0.6,11.2,3.7,4.25,31,5.2,0,51,1,6,0.22083333333333333,0.21395348837209302,0.3615127919911012,2
FL-1330,TransFlight,TR586,DXB,JFK,2026-01-06 11:18:00,2026-01-06 17:45:00,Rain,11.4,40.9,6.3,6.59,6,21.1,0,50,3,6,0.4458333333333333,0.9046511627906977,0.6218020022246941,2
FL-1331,SkyWings,SK495,DFW,FRA,2026-01-14 02:55:00,2026-01-14 03:52:00,Snow,29.5,18.1,8.1,5.01,2,1.4,0,58,2,3,0.8229166666666666,0.37441860465116283,0.44605116796440486,2
FL-1332,AeroGlobal,AE428,DXB,LAX,2026-01-05 14:48:00,2026-01-05 16:58:00,High Winds,15.8,2.3,1.1,7.03,3,17.1,0,65,1,2,0.5375,0.006976744186046507,0.6707452725250278,2
FL-1333,SkyWings,SK310,DXB,CDG,2026-01-30 16:13:00,2026-01-30 17:34:00,Fog,22.9,3.0,7.3,1.34,15,2.1,0,44,2,1,0.6854166666666667,0.023255813953488372,0.0378197997775306,1
FL-1334,JetExpress,JE671,LAX,DFW,2026-01-13 00:30:00,2026-01-13 04:43:00,Thunderstorm,11.7,19.4,3.5,4.51,17,3.0,0,41,4,4,0.45208333333333334,0.4046511627906976,0.3904338153503893,1
FL-1335,NimbusAero,NI733,LAX,JFK,2026-01-04 13:17:00,2026-01-04 17:05:00,Snow,-4.9,35.8,3.4,1.78,6,17.0,0,45,0,3,0.10625,0.786046511627907,0.0867630700778643,1
FL-1336,NimbusAero,NI131,HND,ORD,2026-01-25 12:41:00,2026-01-25 15:18:00,Overcast,25.8,36.3,8.6,3.65,3,14.1,0,19,0,0,0.7458333333333332,0.797674418604651,0.29477196885428253,1
FL-1337,NimbusAero,NI763,LHR,JFK,2026-01-26 10:35:00,2026-01-26 16:04:00,Overcast,-4.1,2.2,6.2,5.83,7,20.9,0,36,0,0,0.12291666666666667,0.004651162790697679,0.5372636262513905,1
FL-1338,NimbusAero,NI452,ATL,HND,2026-01-30 15:31:00,2026-01-30 20:38:00,Overcast,-2.3,11.5,8.4,2.75,9,4.4,0,20,0,0,0.16041666666666668,0.22093023255813954,0.1946607341490545,1
FL-1339,SkyWings,SK971,DXB,HND,2026-01-30 14:09:00,2026-01-30 19:35:00,Clear,4.0,4.9,1.4,7.53,14,11.0,0,61,2,5,0.2916666666666667,0.06744186046511629,0.7263626251390434,2
FL-1340,AeroGlobal,AE787,ATL,LAX,2026-01-14 05:26:00,2026-01-14 11:28:00,Clear,33.2,15.7,4.8,6.55,0,7.1,0,41,1,5,0.9,0.3186046511627907,0.6173526140155728,1
FL-1341,TransFlight,TR680,LHR,CDG,2026-01-20 17:49:00,2026-01-20 20:00:00,Clear,5.0,35.8,7.3,6.77,38,6.4,0,52,3,5,0.3125,0.786046511627907,0.6418242491657397,2
FL-1342,NimbusAero,NI850,LHR,DXB,2026-01-22 07:33:00,2026-01-22 12:06:00,Rain,27.2,22.9,1.5,6.81,18,2.3,0,48,0,6,0.775,0.48604651162790696,0.6462736373748609,2
FL-1343,AeroGlobal,AE651,ATL,LHR,2026-01-29 18:26:00,2026-01-29 19:50:00,Fog,-6.4,2.8,5.3,1.28,13,13.0,0,24,1,1,0.075,0.018604651162790694,0.031145717463848723,1
FL-1344,TransFlight,TR317,JFK,FRA,2026-01-13 02:39:00,2026-01-13 08:02:00,Snow,12.7,35.3,4.0,3.01,8,17.1,0,48,3,3,0.47291666666666665,0.7744186046511627,0.22358175750834258,2
FL-1345,OceanicAir,OC613,DXB,LAX,2026-01-19 07:23:00,2026-01-19 11:14:00,Snow,-9.5,12.3,9.7,9.84,38,15.2,0,86,5,3,0.010416666666666666,0.23953488372093024,0.9833147942157953,2
FL-1346,AeroGlobal,AE283,FRA,ORD,2026-01-23 06:06:00,2026-01-23 09:54:00,Clear,0.5,23.0,1.1,4.32,8,1.4,0,45,1,5,0.21875,0.4883720930232558,0.36929922135706345,1
FL-1347,JetExpress,JE497,HND,DXB,2026-01-03 08:43:00,2026-01-03 09:48:00,Fog,5.6,32.3,5.5,8.47,7,18.4,0,65,4,1,0.325,0.7046511627906976,0.8309232480533927,2
FL-1348,AeroGlobal,AE485,CDG,LHR,2026-01-27 23:54:00,2026-01-28 06:13:00,High Winds,-6.3,12.8,9.7,3.01,0,9.2,0,57,1,2,0.07708333333333334,0.25116279069767444,0.22358175750834258,2
FL-1349,JetExpress,JE598,HND,JFK,2026-01-24 02:08:00,2026-01-24 04:04:00,Thunderstorm,-2.1,5.3,6.6,2.9,0,4.5,0,46,4,4,0.16458333333333333,0.07674418604651162,0.21134593993325917,2
FL-1350,NimbusAero,NI936,LAX,DFW,2026-01-20 02:52:00,2026-01-20 06:26:00,Fog,-4.6,31.0,5.1,6.32,6,14.4,0,58,0,1,0.1125,0.6744186046511628,0.5917686318131257,2
FL-1351,AeroGlobal,AE144,ORD,ATL,2026-01-07 09:09:00,2026-01-07 15:16:00,Snow,-8.1,26.6,1.0,3.32,37,4.4,0,55,1,3,0.03958333333333334,0.572093023255814,0.25806451612903225,2
FL-1352,TransFlight,TR677,JFK,LHR,2026-01-05 03:39:00,2026-01-05 06:14:00,Thunderstorm,19.1,22.3,5.1,2.97,6,9.3,0,62,3,4,0.6062500000000001,0.472093023255814,0.21913236929922136,2
FL-1353,TransFlight,TR940,ORD,FRA,2026-01-13 06:55:00,2026-01-13 09:05:00,Fog,22.9,41.7,6.2,1.62,9,8.6,0,22,3,1,0.6854166666666667,0.9232558139534884,0.06896551724137932,1
FL-1354,SkyWings,SK307,DXB,FRA,2026-01-20 08:31:00,2026-01-20 10:32:00,Snow,-5.4,22.5,6.3,1.35,3,17.4,0,22,2,3,0.09583333333333333,0.47674418604651164,0.03893214682981091,1
FL-1355,OceanicAir,OC775,ORD,FRA,2026-01-01 07:18:00,2026-01-01 13:50:00,Fog,10.7,20.1,8.8,7.28,2,9.7,0,57,5,1,0.43124999999999997,0.42093023255813955,0.6985539488320356,2
FL-1356,OceanicAir,OC908,CDG,LHR,2026-01-28 01:23:00,2026-01-28 08:04:00,Snow,-5.3,7.8,5.0,3.09,10,19.0,0,68,5,3,0.09791666666666667,0.13488372093023254,0.23248053392658508,2
FL-1357,OceanicAir,OC363,ATL,JFK,2026-01-01 13:46:00,2026-01-01 19:26:00,Snow,-4.3,2.3,6.7,7.19,6,7.3,0,59,5,3,0.11875000000000001,0.006976744186046507,0.6885428253615128,2
FL-1358,AeroGlobal,AE536,FRA,DFW,2026-01-13 03:24:00,2026-01-13 08:43:00,Thunderstorm,17.1,28.3,9.9,4.58,13,4.9,0,60,1,4,0.5645833333333333,0.6116279069767442,0.3982202447163515,2
FL-1359,TransFlight,TR594,ORD,CDG,2026-01-26 16:40:00,2026-01-26 22:09:00,Thunderstorm,2.2,15.2,3.8,7.35,48,16.3,0,109,3,4,0.25416666666666665,0.3069767441860465,0.7063403781979977,2
FL-1360,NimbusAero,NI335,HND,ORD,2026-01-05 19:31:00,2026-01-05 22:05:00,Snow,9.2,16.6,5.7,7.27,2,15.7,1,83,0,3,0.39999999999999997,0.33953488372093027,0.6974416017797552,2
FL-1361,SkyWings,SK923,LAX,ATL,2026-01-22 17:11:00,2026-01-22 23:03:00,Thunderstorm,-5.8,13.3,4.0,6.48,86,16.1,0,115,2,4,0.08750000000000001,0.2627906976744186,0.6095661846496108,2
FL-1362,NimbusAero,NI633,DFW,JFK,2026-01-09 05:26:00,2026-01-09 11:38:00,Thunderstorm,11.1,10.7,6.7,8.24,10,6.6,0,60,0,4,0.4395833333333334,0.2023255813953488,0.8053392658509455,2
FL-1363,TransFlight,TR622,DXB,ATL,2026-01-29 05:57:00,2026-01-29 08:08:00,Fog,-8.3,12.3,0.5,2.42,20,21.9,0,45,3,1,0.03541666666666665,0.23953488372093024,0.15795328142380421,1
FL-1364,OceanicAir,OC515,FRA,ATL,2026-01-24 19:30:00,2026-01-24 20:22:00,Fog,23.8,41.5,5.7,7.54,3,12.5,0,53,5,1,0.7041666666666666,0.9186046511627907,0.7274749721913237,2
FL-1365,JetExpress,JE935,DFW,ATL,2026-01-28 20:18:00,2026-01-28 22:42:00,Thunderstorm,34.6,26.7,3.0,4.66,3,2.8,0,53,4,4,0.9291666666666667,0.5744186046511628,0.407119021134594,2
FL-1366,JetExpress,JE448,LAX,FRA,2026-01-12 23:28:00,2026-01-13 04:48:00,High Winds,28.1,12.8,4.7,4.39,0,10.9,0,66,4,2,0.7937500000000001,0.25116279069767444,0.3770856507230255,2
FL-1367,JetExpress,JE894,HND,DXB,2026-01-27 22:58:00,2026-01-27 23:57:00,Thunderstorm,-4.4,4.9,6.5,9.95,1,15.1,1,84,4,4,0.11666666666666665,0.06744186046511629,0.9955506117908787,2
FL-1368,JetExpress,JE628,DXB,JFK,2026-01-13 05:38:00,2026-01-13 08:30:00,Rain,-5.5,31.0,8.3,1.68,22,20.5,0,44,4,6,0.09375,0.6744186046511628,0.07563959955506117,1
FL-1369,TransFlight,TR375,ORD,DFW,2026-01-23 23:02:00,2026-01-24 01:29:00,Overcast,25.3,39.5,2.5,2.82,8,5.9,0,0,3,0,0.7354166666666666,0.872093023255814,0.20244716351501665,0
FL-1370,AeroGlobal,AE897,LAX,ORD,2026-01-04 19:43:00,2026-01-05 02:14:00,Fog,13.6,2.3,8.6,9.62,7,18.7,0,48,1,1,0.4916666666666667,0.006976744186046507,0.9588431590656283,2
FL-1371,TransFlight,TR989,DFW,DXB,2026-01-09 13:44:00,2026-01-09 18:50:00,Rain,9.1,34.3,1.7,5.73,3,9.6,0,39,3,6,0.3979166666666667,0.7511627906976743,0.5261401557285873,1
FL-1372,SkyWings,SK614,LHR,HND,2026-01-09 04:55:00,2026-01-09 09:34:00,Clear,23.5,21.8,7.0,1.11,29,5.0,0,20,2,5,0.6979166666666666,0.4604651162790698,0.012235817575083437,1
FL-1373,JetExpress,JE470,FRA,DFW,2026-01-09 18:25:00,2026-01-09 23:50:00,Rain,1.4,22.3,6.3,4.29,4,11.2,0,33,4,6,0.23750000000000002,0.472093023255814,0.3659621802002225,1
FL-1374,NimbusAero,NI870,LHR,CDG,2026-01-19 11:33:00,2026-01-19 14:41:00,Thunderstorm,-1.4,7.6,6.0,3.06,15,2.6,0,55,0,4,0.17916666666666667,0.13023255813953488,0.22914349276974416,2
FL-1375,AeroGlobal,AE668,CDG,HND,2026-01-10 04:09:00,2026-01-10 06:08:00,High Winds,36.0,8.4,8.2,2.59,2,11.2,0,48,1,2,0.9583333333333334,0.14883720930232558,0.1768631813125695,2
FL-1376,NimbusAero,NI629,DXB,LHR,2026-01-23 09:31:00,2026-01-23 12:49:00,Rain,17.0,26.4,4.3,7.21,18,1.8,0,49,0,6,0.5625,0.5674418604651162,0.6907675194660734,2
FL-1377,OceanicAir,OC959,LAX,DXB,2026-01-16 11:32:00,2026-01-16 14:30:00,Rain,7.3,26.0,8.2,4.1,3,9.4,0,27,5,6,0.36041666666666666,0.5581395348837209,0.3448275862068965,1
FL-1378,NimbusAero,NI720,ATL,FRA,2026-01-09 04:38:00,2026-01-09 07:48:00,Rain,5.6,23.9,7.9,5.02,3,2.2,0,33,0,6,0.325,0.5093023255813953,0.44716351501668516,1
FL-1379,OceanicAir,OC746,ORD,ATL,2026-01-30 09:41:00,2026-01-30 13:18:00,Thunderstorm,20.3,26.6,8.6,1.64,2,4.0,0,43,5,4,0.63125,0.572093023255814,0.07119021134593992,1
FL-1380,JetExpress,JE768,DFW,LHR,2026-01-28 19:14:00,2026-01-29 01:29:00,Thunderstorm,3.0,21.1,8.7,4.27,15,13.1,0,78,4,4,0.2708333333333333,0.44418604651162796,0.3637374860956618,2
FL-1381,OceanicAir,OC271,ORD,JFK,2026-01-06 22:34:00,2026-01-07 05:31:00,Overcast,21.8,42.4,7.2,1.72,4,4.1,0,8,5,0,0.6625,0.9395348837209302,0.08008898776418243,0
FL-1382,SkyWings,SK999,HND,FRA,2026-01-03 16:47:00,2026-01-03 17:45:00,High Winds,9.1,34.9,1.3,3.36,19,3.8,0,58,2,2,0.3979166666666667,0.7651162790697674,0.26251390433815347,2
FL-1383,OceanicAir,OC416,ATL,DFW,2026-01-14 04:23:00,2026-01-14 08:54:00,Fog,-3.9,24.6,2.1,1.32,7,8.2,0,43,5,1,0.12708333333333333,0.5255813953488372,0.03559510567296997,1
FL-1384,OceanicAir,OC578,DXB,DFW,2026-01-26 05:09:00,2026-01-26 09:41:00,Overcast,36.5,32.0,2.2,6.38,16,14.1,0,29,5,0,0.96875,0.6976744186046512,0.5984427141268075,1
FL-1385,TransFlight,TR545,DXB,FRA,2026-01-15 08:13:00,2026-01-15 11:55:00,Thunderstorm,15.9,36.6,4.7,4.29,33,6.1,0,65,3,4,0.5395833333333333,0.8046511627906977,0.3659621802002225,2
FL-1386,SkyWings,SK635,ORD,CDG,2026-01-14 07:13:00,2026-01-14 11:58:00,Snow,-9.6,41.6,9.5,5.29,0,0.7,0,35,2,3,0.00833333333333334,0.9209302325581395,0.4771968854282536,1
